1 2.17044  -51.4844
101 2.04173  -51.7086
201 1.99396  -51.8034
301 1.94411  -51.8465
401 1.94114  -51.8764
501 1.95898  -51.9435
601 1.94551  -51.9952
701 1.9407  -52.1026
801 1.9455  -52.1376
901 1.94507  -52.2317
1001 1.97244  -52.2656
1101 1.96698  -52.3119
1201 1.97259  -52.388
1301 1.97026  -52.375
1401 1.97408  -52.4216
1501 1.98713  -52.4361
1601 1.98671  -52.4569
1701 1.9837  -52.4814
1801 1.97869  -52.4748
1901 1.97383  -52.4705
2001 2.00526  -52.4804
2101 1.99303  -52.4976
2201 1.98196  -52.4899
2301 1.9861  -52.4836
2401 1.99213  -52.503
2501 1.9844  -52.5125
2601 1.9835  -52.519
2701 1.98267  -52.5349
2801 1.96414  -52.5172
2901 1.97535  -52.532
3001 1.97704  -52.5278
3101 1.95887  -52.534
3201 1.9746  -52.5144
3301 1.98582  -52.5182
3401 1.98757  -52.5247
3501 2.00447  -52.5342
3601 1.99239  -52.5618
3701 1.97366  -52.5288
3801 1.98375  -52.5372
3901 1.99304  -52.512
4001 1.98115  -52.5318
4101 1.9929  -52.5168
4201 1.98758  -52.5091
4301 1.96693  -52.5001
4401 1.98038  -52.4988
4501 1.98468  -52.5045
4601 1.98745  -52.5096
4701 1.99219  -52.5283
4801 1.97899  -52.5188
4901 2.01526  -52.5316
5001 2.00624  -52.5712
5101 1.98188  -52.5861
5201 1.98377  -52.5703
5301 1.99228  -52.5786
5401 2.00781  -52.5655
5501 1.9904  -52.5545
5601 2.00193  -52.5413
5701 1.96266  -52.5493
5801 1.96927  -52.5364
5901 1.97198  -52.5186
6001 2.00131  -52.463
6101 1.98817  -52.4661
6201 1.98494  -52.4634
6301 1.99214  -52.4747
6401 1.98018  -52.4625
6501 1.98375  -52.4828
6601 1.98564  -52.4801
6701 1.979  -52.4889
6801 1.98558  -52.498
6901 1.98932  -52.4985
7001 1.97598  -52.4986
7101 1.9912  -52.4999
7201 1.97271  -52.5104
7301 1.995  -52.516
7401 1.97442  -52.5155
7501 1.97933  -52.5132
7601 1.9911  -52.5191
7701 2.00542  -52.5264
7801 1.98943  -52.5171
7901 1.97219  -52.5202
8001 1.98608  -52.5347
8101 1.9797  -52.5366
8201 1.97035  -52.5266
8301 1.98211  -52.5396
8401 1.98815  -52.5642
8501 1.96737  -52.5502
8601 1.99376  -52.5612
8701 1.97914  -52.5586
8801 1.98339  -52.5301
8901 1.96458  -52.5123
9001 1.97758  -52.5501
9101 1.98186  -52.5412
9201 1.95754  -52.5193
9301 1.95812  -52.5118
9401 1.96899  -52.5298
9501 1.97673  -52.498
9601 1.97508  -52.4805
9701 1.99517  -52.472
9801 1.98852  -52.5003
9901 1.97316  -52.5189
10001 1.95982  -52.5251
10101 1.98107  -52.5116
10201 1.9627  -52.5369
10301 1.96514  -52.5153
10401 1.96549  -52.5258
10501 1.99082  -52.5323
10601 1.9772  -52.526
10701 1.99018  -52.5121
10801 1.99832  -52.4737
10901 1.99411  -52.4768
11001 1.99169  -52.4911
11101 1.9757  -52.4827
11201 1.99516  -52.5087
11301 1.99578  -52.5062
11401 2.0243  -52.5133
11501 1.99677  -52.5293
11601 1.99978  -52.5455
11701 2.00018  -52.5555
11801 2.00032  -52.5907
11901 1.99491  -52.5957
12001 1.98913  -52.5791
12101 1.99129  -52.5623
12201 2.01047  -52.5684
12301 1.99398  -52.5453
12401 2.01177  -52.5353
12501 2.00504  -52.5375
12601 2.00299  -52.5441
12701 1.99475  -52.5178
12801 1.99283  -52.5255
12901 1.98959  -52.5107
13001 1.97006  -52.5037
13101 1.97643  -52.495
13201 1.99081  -52.4922
13301 1.99168  -52.4779
13401 2.00098  -52.4645
13501 1.99208  -52.4523
13601 2.01931  -52.4664
13701 2.00821  -52.4776
13801 2.02606  -52.4665
13901 2.01209  -52.4818
14001 2.00101  -52.4872
14101 2.00543  -52.5017
14201 2.03565  -52.5067
14301 2.01837  -52.5343
14401 2.00401  -52.5213
14501 1.98709  -52.5188
14601 2.00196  -52.5334
14701 1.99641  -52.5612
14801 2.00098  -52.5505
14901 2.01007  -52.5564
15001 2.00804  -52.5431
15101 1.98086  -52.5528
15201 1.99189  -52.572
15301 1.99924  -52.5818
15401 1.9861  -52.583
15501 1.99288  -52.5834
15601 1.99914  -52.5495
15701 1.97184  -52.578
15801 1.98091  -52.5722
15901 1.97615  -52.5825
16001 1.9794  -52.5745
16101 2.01035  -52.5759
16201 1.97949  -52.5757
16301 1.99375  -52.5781
16401 1.99568  -52.5523
16501 1.99406  -52.5402
16601 2.00007  -52.5431
16701 1.98384  -52.5363
16801 1.98821  -52.5405
16901 2.00211  -52.5381
17001 2.00507  -52.5367
17101 1.98882  -52.5282
17201 1.98146  -52.5105
17301 1.98951  -52.5345
